iter	Passed	Remaining
595	9382	6359
596	9397	6344
597	9414	6328
598	9430	6313
599	9448	6299
600	9496	6304
601	9512	6288
602	9531	6275
603	9546	6259
604	9560	6241
605	9576	6226
606	9594	6211
607	9610	6196
608	9626	6180
609	9641	6164
610	9656	6147
611	9671	6131
612	9686	6115
613	9701	6099
614	9715	6082
615	9731	6066
616	9748	6051
617	9761	6033
618	9775	6016
619	9792	6002
620	9811	5987
621	9827	5972
622	9843	5956
623	9860	5941
624	9878	5927
625	9894	5911
626	9910	5895
627	9929	5881
628	9945	5865
629	9961	5850
630	9976	5834
631	9996	5820
632	10012	5804
633	10028	5789
634	10043	5773
635	10058	5756
636	10074	5741
637	10091	5726
638	10108	5710
639	10125	5695
640	10139	5678
641	10154	5662
642	10171	5647
643	10186	5630
644	10201	5614
645	10216	5598
646	10231	5582
647	10245	5565
648	10259	5548
649	10273	5531
650	10286	5514
651	10304	5499
652	10318	5482
653	10331	5466
654	10345	5448
655	10358	5431
656	10374	5416
657	10389	5400
658	10404	5384
659	10419	5367
660	10433	5350
661	10447	5334
662	10461	5317
663	10475	5300
664	10489	5284
665	10504	5268
666	10519	5251
667	10535	5236
668	10554	5221
669	10570	5206
670	10586	5190
671	10601	5174
672	10616	5158
673	10632	5142
674	10648	5127
675	10663	5110
676	10678	5094
677	10698	5080
678	10714	5065
679	10728	5048
680	10742	5032
681	10757	5015
682	10770	4999
683	10785	4982
684	10799	4966
685	10815	4950
686	10832	4935
687	10850	4920
688	10871	4907
689	10890	4893
690	10908	4878
691	10925	4862
692	10941	4847
693	10958	4832
694	10975	4816
695	10991	4800
696	11008	4785
697	11027	4771
698	11042	4755
699	11058	4739
700	11074	4723
701	11091	4708
702	11111	4694
703	11127	4678
704	11142	4662
705	11156	4645
706	11170	4629
707	11184	4612
708	11198	4596
709	11211	4579
710	11224	4562
711	11238	4546
712	11252	4529
713	11266	4512
714	11279	4496
715	11293	4479
716	11307	4463
717	11323	4447
718	11338	4431
719	11352	4414
720	11367	4398
721	11380	4381
722	11394	4365
723	11409	4349
724	11424	4333
725	11438	4316
726	11452	4300
727	11466	4284
728	11483	4268
729	11497	4252
730	11512	4236
731	11527	4220
732	11542	4204
733	11556	4188
734	11571	4171
735	11585	4155
736	11601	4139
737	11614	4123
738	11628	4107
739	11645	4091
740	11660	4075
741	11677	4060
742	11699	4046
743	11713	4030
